"ST","YEAR","POPULA","INCOME","BRANCH","NOFACIL","N_TOTLN","N_TOTRE","N_REFRM","N_RERES","N_REOTH","N_COLLAT","N_OTHLN","N_OTHLNI","N_TOTINV","N_GOVTSEC","N_OTHSEC","N_CASH","N_OTHASS","N_TOTASS","N_TOTDEP","N_DEPIBK","N_DEPGOVT","N_DEPOTHD","N_DEPOTHT","N_BORR","N_BKNOTES","N_OTHLIAB","N_CAP","N_SURP","N_TOTLIAB","N_NOBNKS","A_TOTLN","A_TOTRE","A_REFRM","A_RERES","A_REOTH","A_OTHLNI","A_TOTINV","A_GOVTSEC","A_OTHSEC","A_CASH","A_OTHASS","A_TOTASS","A_TOTDEP","A_DEPIBK","A_DEPGOVT","A_DEPOTHD","A_DEPOTHT","A_BORR","A_BKNOTES","A_OTHLIAB","A_CAP","A_SURP","A_TOTLIAB","A_NOBNKS","N_INTD","N_INTDLN","N_INTDINV","N_INTIBK","N_XCCOLL","N_FXPROF","N_INSUR","N_TRUST","N_SECPROF","N_OTHEARN","N_GRSEARN","N_SALARY","N_INTDBOR","N_INTDEP","N_INTBKD","N_INTDD","N_INTTD","N_TAX","N_OTHEXP","N_TOTEXP","N_RECCOA","N_RECLD","N_RECSEC","N_CHGLN","N_CHGSEC","N_CHGFIX","N_CHGTRU","N_OTHLOSS","N_CHGFX","N_CHGTOT","N_DIVID","N_FAIL","C_FAIL","N_FAILASS","C_FAILASS","A_DEBITS","POPPER_NATBANK","POPPER_BANK"
"GA",1896,2056164,NA,NA,NA,8859,96,NA,NA,NA,3731,5032,NA,2389,1653,736,2829,589,14666,7400,527,130,6164,579,588,1060,8,3816,1794,14666,30,34100,2752,NA,NA,NA,21943,4529,2152,2377,11084,2472,52185,29526,1925,130,20084,7387,1075,1060,180,13837,6507,52185,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,791,NA,NA,NA,NA,NA,NA,NA,NA,349,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,225,NA,NA,NA,NA,NA,68538.8,11054.6451612903
"GA",1897,2095087,NA,NA,NA,9381,103,NA,NA,NA,4015,5263,NA,2196,1542,654,2832,592,15001,7395,559,145,6076,615,642,1033,1,4016,1914,15001,30,34228,2723,NA,NA,NA,21929,4420,2059,2361,9863,2331,50842,27433,1786,145,18695,6807,2178,1033,179,13272,6747,50842,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,872,NA,NA,NA,NA,NA,NA,NA,NA,413,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,252,NA,NA,NA,NA,NA,69836.2333333333,10855.3730569948
"GA",1898,2134746,NA,NA,NA,10093,108,NA,NA,NA,4212,5773,NA,2074,1470,604,3123,545,15835,8286,743,184,6656,703,661,939,7,3916,2026,15835,29,35089,2740,NA,NA,NA,22502,4359,2010,2349,10837,2408,52693,29565,2025,184,19869,7487,2235,939,152,13063,6739,52693,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,896,NA,NA,NA,NA,NA,NA,NA,NA,424,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,247,NA,NA,NA,NA,NA,73611.9310344828,11003.8453608247
"GA",1899,2175156,NA,NA,NA,9325,94,NA,NA,NA,3673,5558,NA,2633,2048,585,4697,511,17166,10138,898,510,7991,739,65,1052,4,3756,2151,17166,27,37505,3047,NA,NA,NA,24347,5318,2695,2623,13059,3054,58936,34366,2164,510,22910,8782,3063,1052,116,12997,7342,58936,211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,921,NA,NA,NA,NA,NA,NA,NA,NA,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,223,NA,NA,NA,NA,NA,80561.3333333333,10308.7962085308
"GA",1900,2216331,NA,NA,NA,12153,101,NA,NA,NA,3922,8130,NA,3860,3161,699,4280,658,20951,12112,1344,833,9102,833,618,1636,3,4056,2526,20951,28,42680,3299,NA,NA,NA,28465,6616,3828,2788,12092,2802,64190,37260,2617,833,24512,9298,4585,1636,113,12791,7805,64190,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1091,NA,NA,NA,NA,NA,NA,NA,NA,463,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,299,NA,NA,NA,NA,NA,79154.6785714286,9938.70403587444
"GA",1901,2252789,NA,NA,NA,15871,129,NA,NA,NA,5013,10729,NA,4820,3917,903,5184,687,26562,15066,2019,1056,10870,1121,1779,2539,3,4416,2759,26562,32,51791,3887,NA,NA,NA,34618,7623,4596,3027,12844,2972,75230,41835,3235,1056,27229,10315,8221,2539,124,13731,8780,75230,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1299,NA,NA,NA,NA,NA,NA,NA,NA,572,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,323,NA,NA,NA,NA,NA,70399.65625,8765.71595330739
"GA",1902,2289847,NA,NA,NA,18499,148,NA,NA,NA,5753,12598,NA,5007,4159,848,6270,688,30464,18224,2096,1160,13656,1312,1596,2490,0,4971,3183,30464,41,55888,4075,NA,NA,NA,37471,7783,4830,2953,14532,3207,81410,48632,4110,1160,31682,11680,5622,2490,138,14598,9930,81410,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1423,NA,NA,NA,NA,NA,NA,NA,NA,630,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,345,NA,NA,NA,NA,NA,55849.9268292683,8418.55514705882
"GA",1903,2327515,NA,NA,NA,21976,175,NA,NA,NA,6835,14966,NA,5676,4785,891,6693,1114,35459,21649,2487,1475,16197,1490,1314,3064,164,5748,3520,35459,48,64602,4651,NA,NA,NA,43291,8574,5489,3085,15249,3683,92108,57671,4349,1475,37637,14210,4089,3064,399,15532,11353,92108,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708,NA,NA,NA,NA,NA,NA,NA,NA,734,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,387,NA,NA,NA,NA,NA,48489.8958333333,7863.22635135135
"GA",1904,2365802,NA,NA,NA,23482,204,NA,NA,NA,7944,15334,NA,5994,4974,1020,6347,865,36688,21737,2209,1100,16746,1682,1660,3470,18,5846,3957,36688,51,71050,5173,NA,NA,NA,46851,9310,5791,3519,15756,3977,100093,62119,4279,1100,40507,16233,4792,3470,202,17056,12454,100093,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1931,NA,NA,NA,NA,NA,NA,NA,NA,873,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,422,NA,NA,NA,NA,NA,46388.2745098039,7212.81097560976
"GA",1905,2404719,NA,NA,NA,26054,210,NA,NA,NA,8179,17665,NA,6198,5216,982,8627,1256,42135,26439,2964,796,20598,2081,941,3955,13,6263,4524,42135,62,78310,5653,NA,NA,NA,52245,9638,6068,3570,21140,4439,113527,72118,5308,796,47200,18814,4583,3955,163,18835,13873,113527,390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2101,NA,NA,NA,NA,NA,NA,NA,NA,895,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,437,NA,NA,NA,NA,NA,38785.7903225806,6165.94615384615
"GA",1906,2444277,NA,NA,NA,34215,269,NA,NA,NA,10509,23437,NA,7195,6251,944,8597,1339,51346,29457,3091,961,22955,2450,4207,4945,107,7139,5491,51346,75,105134,7739,NA,NA,NA,70178,10186,6991,3195,22260,5361,142941,85753,6286,961,55254,23252,12699,4945,319,22963,16262,142941,481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2637,NA,NA,NA,NA,NA,NA,NA,NA,1076,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,527,NA,NA,NA,NA,NA,32590.36,5081.65696465697
"GA",1907,2484485,NA,NA,NA,38110,310,NA,NA,NA,12076,25724,NA,8804,7514,1290,9513,1746,58173,33198,3773,2082,23685,3658,3565,5804,326,8515,6765,58173,86,114400,8465,NA,NA,NA,75872,11904,8283,3621,23040,5380,154724,93446,6709,2082,58288,26367,9657,5804,1776,25467,18574,154724,537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3064,NA,NA,NA,NA,NA,NA,NA,NA,1249,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,701,NA,NA,NA,NA,NA,28889.3604651163,4626.60148975791
"GA",1908,2525354,NA,NA,NA,41879,348,NA,NA,NA,13556,27975,NA,11411,9634,1777,10019,2124,65433,34287,3295,2400,24148,4444,4339,7699,505,10716,7887,65433,96,109484,7744,NA,NA,NA,72276,14995,10529,4466,23291,6340,154110,86823,6291,2400,53924,24208,9320,7699,867,29443,19958,154110,595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3246,NA,NA,NA,NA,NA,NA,NA,NA,1532,NA,NA,NA,NA,NA,NA,NA,NA,NA,193,894,NA,NA,NA,NA,NA,26305.7708333333,4244.29243697479
"GA",1909,2566896,NA,NA,NA,44919,394,NA,NA,NA,15232,29293,NA,11680,11240,440,13275,2559,72433,40677,5132,1097,28161,6287,2183,9268,123,11402,8780,72433,102,116951,8422,NA,NA,NA,76335,15628,12228,3400,29390,7043,169012,97955,8336,1097,60371,28151,9319,9268,237,30784,21449,169012,603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3822,NA,NA,NA,NA,NA,NA,NA,NA,1850,NA,NA,NA,NA,NA,NA,NA,NA,NA,318,1167,NA,NA,NA,NA,NA,25165.6470588235,4256.87562189055
"GA",1910,2609121,NA,NA,NA,57898,472,NA,NA,NA,19775,37651,NA,11845,11375,470,12592,3417,85752,44492,4774,773,29604,9341,8254,9888,200,13185,9733,85752,113,144510,13646,NA,NA,NA,91657,16458,12081,4377,29028,8477,198473,109184,8381,773,63788,36242,19870,9888,561,35067,23903,198473,693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4456,NA,NA,NA,NA,NA,NA,NA,NA,2135,NA,NA,NA,NA,NA,NA,NA,NA,NA,389,1335,NA,NA,NA,NA,NA,23089.5663716814,3764.96536796537
"GA",1911,2636466,NA,NA,NA,60117,422,NA,NA,NA,18965,40730,NA,12029,11413,616,14815,3669,90630,49455,5731,663,32654,10407,5885,10328,73,13841,11048,90630,114,161367,18764,NA,NA,NA,101725,17317,11840,5477,31600,9307,219591,121357,9747,663,68595,42352,22123,10328,787,38223,26773,219591,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5056,NA,NA,NA,NA,NA,NA,NA,NA,2435,NA,NA,NA,NA,NA,NA,NA,NA,NA,371,1290,NA,NA,NA,NA,NA,23126.8947368421,3601.72950819672
"GA",1912,2664097,NA,NA,NA,64209,532,NA,NA,NA,20745,42932,NA,13230,12326,904,15435,4052,96926,53225,5986,752,34697,11790,5249,11285,161,14960,12046,96926,115,170998,20945,NA,NA,NA,104341,19348,12747,6601,34454,10552,235352,132778,9730,752,73666,48630,19764,11285,892,41438,29195,235352,785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5779,NA,NA,NA,NA,NA,NA,NA,NA,2882,NA,NA,NA,NA,NA,NA,NA,NA,NA,420,1783,NA,NA,NA,NA,NA,23166.0608695652,3393.75414012739
"GA",1913,2692018,NA,NA,NA,65555,537,NA,NA,NA,22103,42915,NA,14029,13018,1011,16220,4443,100247,52448,5243,910,34023,12272,7763,11876,125,15219,12816,100247,118,175970,22958,NA,NA,NA,103243,20759,13483,7276,34660,11956,243345,126677,9051,910,69750,46966,28576,11876,991,43744,31481,243345,793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5617,NA,NA,NA,NA,NA,NA,NA,NA,3138,NA,NA,NA,NA,NA,NA,NA,NA,NA,428,1291,NA,NA,NA,NA,NA,22813.7118644068,3394.7263556116
"GA",1914,2720232,NA,NA,NA,64960,1190,NA,NA,NA,19916,43854,NA,14586,13427,1159,17447,4639,101632,55153,6610,926,38903,8714,6218,12141,173,15048,12899,101632,115,180907,18137,NA,NA,NA,125389,20974,13975,6999,37927,12997,252805,132742,11641,926,85675,34500,29194,12141,1388,45133,32207,252805,801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5809,NA,NA,NA,NA,NA,NA,NA,NA,3252,NA,NA,NA,NA,NA,NA,NA,NA,NA,477,1473,NA,NA,NA,NA,NA,23654.1913043478,3396.04494382022
"GA",1915,2748741,NA,NA,NA,63080,1857,NA,NA,NA,25147,36076,NA,15559,13635,1924,18368,4454,101461,55332,6229,868,38435,9800,5473,12252,136,14706,13562,101461,113,170197,20285,NA,NA,NA,103641,21870,14166,7704,36821,13442,242330,132517,9949,868,75456,46244,20095,12252,1624,43194,32648,242330,773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5707,NA,NA,NA,NA,NA,NA,NA,NA,3630,NA,NA,NA,NA,NA,NA,NA,NA,NA,475,1260,NA,NA,NA,NA,NA,24325.1415929204,3555.93919793014
"GA",1916,2777549,NA,NA,NA,69540,2704,NA,NA,NA,28355,38481,NA,15803,13415,2388,22528,4707,112578,68336,8326,546,46821,12643,4140,11966,123,14623,13390,112578,110,185174,20780,NA,NA,NA,112881,23008,13990,9018,47066,14015,269263,164635,14045,546,94044,56000,15793,11966,1066,43007,32796,269263,755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6025,NA,NA,NA,NA,NA,NA,NA,NA,3750,NA,NA,NA,NA,NA,NA,NA,NA,NA,603,1333,NA,NA,NA,NA,NA,25250.4454545455,3678.87284768212
"GA",1917,2806659,NA,NA,NA,76901,2332,NA,NA,NA,30843,43726,NA,15744,13054,2690,28472,4824,125941,85146,13540,658,51928,19020,4019,10280,627,13000,12869,125941,100,205882,20578,NA,NA,NA,128170,24389,15038,9351,64392,15182,309845,209047,20263,658,115527,72599,13930,10280,1779,41282,33527,309845,739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6008,NA,NA,NA,NA,NA,NA,NA,NA,3795,NA,NA,NA,NA,NA,NA,NA,NA,NA,414,1194,NA,NA,NA,NA,NA,28066.59,3797.91474966171
"GA",1918,2836074,NA,NA,NA,98023,2469,NA,NA,NA,39028,56526,NA,24604,21760,2844,32962,6983,162572,109876,16002,5222,64249,24403,12513,10899,3163,13108,13013,162572,97,262565,23212,NA,NA,NA,166308,41831,32228,9603,71040,20785,396221,266610,24412,5843,144937,91418,34784,10899,6180,41820,35928,396221,756,7247,NA,NA,NA,518,NA,3,NA,NA,299,8067,1426,369,1727,NA,NA,NA,654,1024,5200,94,NA,NA,358,108,NA,NA,201,NA,667,1505,NA,NA,NA,NA,NA,29237.8762886598,3751.42063492063
